gene,gene_effect,z_score,mean,stddev
KLB,-0.9515184321469999,-6.224906938512239,0.053730172802829095,0.16148813385956975
KMT2D,-1.0705494520799999,-4.741753737726288,-0.09147389422884322,0.20647963011268314
FGFR4,-0.71302671043,-4.27757671765608,-0.09815965348624076,0.14374191219197555
HSPA8,-1.9288068249900001,-4.2047104208327015,-0.30635327270687046,0.38586570533954123
ARF1,-0.922663920677,-3.9877518266600145,-0.20373262238017698,0.1802848646423847
MYH10,-0.6895057808849999,-3.9677014707069587,-0.005426340343718878,0.17241202383590437
PROX1,-0.648675714326,-3.909973673069462,-0.06368771294190718,0.14961430697431202
HSD17B10,-1.22773940659,-3.8336965471261397,-0.36502289060412946,0.22503516002918647
KDM6A,-0.630018590833,-3.792002089054155,-0.0013335222030796793,0.1657923845676821
LONRF3,-0.651764032257,-3.548758230824265,-0.035760316311043365,0.1735828917832135
GET3,-0.645678012014,-3.538764932399021,-0.00852336659289726,0.18005000546593497
ZW10,-1.2230304726299999,-3.453802805338862,-0.21700809978551178,0.29127962120170453
MYH3,-0.470643866106,-3.445012021488864,-0.04339916255517713,0.12401834910467929
MSH5-SAPCD1,-0.596493119012,-3.376893670186441,-0.06650325389774148,0.15694597368977783
VMP1,-0.7712070220899999,-3.2906623727597792,-0.18607729008434987,0.1778151830006551
TAS2R3,-0.5757557420620001,-3.2728776594908573,0.12843631142385822,0.21515990719781608
NSF,-1.58494650391,-3.170369400067413,-0.6293768496847049,0.3014064084156806
VPS13D,-0.716212659787,-3.0017471928464285,-0.1654486114942523,0.18348115710919738
RAB6D,-0.46317147640699996,-2.965376762667792,-0.04245000116010521,0.1418779160016058
NARS2,-0.7169621401540001,-2.9644634296689327,-0.16537111356639486,0.1860677453690856
TFEB,-0.664528913503,-2.953839853509256,-0.1967422577341248,0.1583656118706401
ATP5F1B,-1.09497238582,-2.927924040593093,-0.42951667351100487,0.22727902195652508
DHX30,-0.6621808365240001,-2.9149388237506266,-0.16745734535240683,0.1697200253880583
PCDHB5,-0.28431032518800003,-2.8964422468323545,0.16027903040974734,0.1534949837456504
HTATSF1,-1.52634420534,-2.8602216139265852,-0.6685704955984465,0.2998976392476036
RNF5,-0.458380950438,-2.847393919438934,-0.09027175719547019,0.12927933530007116
ATP6AP1,-1.25577042508,-2.773660366220332,-0.5623895309075059,0.2499876706668901
RGS17,-0.46416102054200004,-2.763609471252342,0.011444283272327884,0.1720956990347863
SCFD1,-0.7722046225579999,-2.7315546373200004,-0.10487552023056095,0.2443037723683144
CAMLG,-0.566865280441,-2.712069046516463,0.00917842122011376,0.21240008708517852
CLECL1P,-0.42856907373899994,-2.7086866043163327,0.032852049384749,0.17034865620425318
MAD2L2,-0.520586719317,-2.7066010284919972,-0.06601607213714711,0.16794889324087792
CEBPA,-0.531135707031,-2.7027646227767184,-0.09179835030013948,0.16255109787529404
PREB,-0.840972379046,-2.7007312538800607,-0.2422705638719019,0.22168137400341514
DRC1,-0.42114923178,-2.6925673167711723,0.15031220949028354,0.2122366403658049
ATP6V0B,-0.834707603226,-2.6861183352475533,-0.20165187895999942,0.23567678160674113
CLEC14A,-0.359784876138,-2.6791809514663854,0.015416142005387264,0.14004317921789866
ZC3H14,-0.599023180776,-2.654583072397194,-0.15848193866309054,0.16595496546848812
SLC14A2,-0.292037582307,-2.6346949582785517,0.055922367562325145,0.1320684008507285
CHP1P2,-0.42949327641900004,-2.6095613931482218,0.1603555059441079,0.22603368669993384
EIF2B3,-1.9539151411200002,-2.6078755904571698,-1.051763730627864,0.34593345395513514
ICAM2,-0.44606962436700004,-2.5727684514007376,-0.004703388880134188,0.17155303472668326
EIF4A3,-1.99594114982,-2.5653957232228257,-1.0960072321302718,0.35079730957030264
PRR4,-0.252843167685,-2.542576204725253,0.15724975902128838,0.16129031882865527
SUPV3L1,-1.12728250783,-2.5422246353584446,-0.49719939057752655,0.24784714477587225
RPA2,-1.9805428717900002,-2.5394999454402147,-1.0803342670774898,0.3544826241594827
HLA-DQA2,-0.151853324227,-2.5338310142236993,0.11829157468979894,0.10661519943529636
ATP5MF-PTCD1,-0.849122182729,-2.5307565852982825,-0.31204912412302777,0.21221837837978844
PRAMEF15,0.232715115031,-2.514164135173521,0.4999276529341504,0.10628285328105999
VEZF1,-0.227944209316,-2.5091459166779084,0.12565498135796704,0.14092412415063127
ATP5F1A,-0.968827347916,-2.5018054977264854,-0.3759019930691688,0.23699898148982879
PRSS38,-0.34903263026500003,-2.490782729705358,0.13319848498748124,0.19360625457264424
NTS,-0.402985605395,-2.4797933662588867,0.019471805423070105,0.17035992456718516
CST11,-0.23279118987300002,-2.4772059413774477,0.15690017275587928,0.1573108461108372
RPL3L,-0.43777937262100003,-2.47368420538346,0.0444216264677082,0.19493231918581114
PPP1R14A,-0.414176670828,-2.462697760718046,0.009764980571758241,0.17214522145671263
ETFBKMT,-0.235254114564,-2.442878188669561,0.016176004513119662,0.10292372343545028
RASGRF2,-0.462636382925,-2.435349671337663,-0.033017167458276014,0.17640966327055094
STX18,-0.665320828305,-2.4281432714340165,-0.11798978998295886,0.22541134403440596
SCGB1D4,-0.302189991531,-2.4278175011369574,0.11079130917706116,0.1701039310057944
PRSS33,-0.225504849311,-2.422544228862629,0.13815875364656438,0.1501163935934835
ARL17A,-0.328014701096,-2.4217320599578995,-0.050106260284625,0.11475606463920963
OPN1MW,-0.28836480129700004,-2.4138431318894407,0.011475213810280466,0.12421686030300576
MST1L,-0.713165104358,-2.409129611937638,-0.19557063081442144,0.21484708459802734
ZNF649,-0.343735007593,-2.408968897566898,0.11676524353612634,0.19116072922080476
NCOR1P4,-0.631260100808,-2.4053074331015143,-0.24873479023312273,0.1590338537646439
AMY2B,-0.15537246641799998,-2.405021926740142,0.24585548099502477,0.16682922635839098
ZNF560,-0.488168733644,-2.402679408440162,-0.045938735308545156,0.18405701434073302
RNF125,-0.791219125422,-2.401593799240733,-0.2702339728971711,0.2169330853075733
USP46,-0.428765813106,-2.3997795868961735,0.03740658956983438,0.1942563413829069
TBX22,-0.723334529401,-2.398311803518539,-0.17825231602574715,0.22727745932600102
LINC03106,-0.31007779353,-2.3929529457684544,0.016000191798437948,0.1362659411690704
TTC1,-1.6882255959399999,-2.3633089438075325,-0.8417514751225992,0.3581732820143457
MYBPC1,-0.260746461575,-2.3589761134575897,0.008897991535126437,0.11430571576026013
MYO7B,-0.624488823304,-2.356377516653747,-0.1754186188049762,0.19057651048068944
MAGEA3,-0.38803950312700003,-2.354474352895079,-0.017306338217525898,0.15745899480859404
EPPIN-WFDC6,-0.189582470526,-2.3536711120851765,0.1397738367110222,0.1399330201853211
A4GNT,-0.298317010267,-2.346632392350115,-0.00519827802990459,0.12491037505177438
PLA2G4C,-0.30682842395300003,-2.3408553813159716,0.026939542605911596,0.14258376199698225
ANAPC1P4,-0.8956034714290001,-2.3398661421313394,-0.3898095517067322,0.21616361321487812
PPRC1,-0.495115835649,-2.3227000874783688,-0.07916971146588454,0.17907870517828497
LAMA4,-0.045887451069599995,-2.300866847019171,0.2041486262274096,0.10867038117435497
DZIP3,-0.163129630266,-2.2826947325949325,0.11852265201335155,0.12338587295865601
POU5F1P3,-0.253898042678,-2.2770411975889724,0.11925564334101907,0.16387656332881897
COL6A3,-0.662891511537,-2.2594120334742684,-0.15434577863472398,0.22507879278676404
DNAJB9,-0.321378991858,-2.246666607077187,0.09947160257463651,0.18732222800967535
IMMP1L,-0.236365001431,-2.235796411558302,0.08998008355049608,0.1459636858232725
RND1,-0.44193181975199997,-2.221537142001442,0.009356854889860279,0.20314252960690196
AHCTF1P1,0.10156504779999999,-2.216457545083459,0.5355155482852906,0.19578561360125243
CS,-0.49847372113899996,-2.209089341078532,-0.1418096907923984,0.16145296784260854
DHPS,-1.42774998042,-2.205259994692916,-0.78569700645225,0.29114615760177354
EDIL3,-0.44815542542099995,-2.200965403299695,0.042253884493048975,0.2228155468408661
MIR429,-0.43465552477499997,-2.192547297254885,0.0177217605009823,0.2063249836582171
TNPO2,-0.448960625241,-2.1917146462463863,0.007183644897144283,0.20812210700848047
LNPK,-0.27717945757199997,-2.1883788747823165,0.07601508008627542,0.16139551598139443
SYNGR1,-0.276896438814,-2.1831396303729296,0.0113247833107262,0.13202143285516352
PCOLCE,-0.30556477146600003,-2.1825542092834427,0.07264010352616469,0.17328544390030692
PCARE,-0.403330405657,-2.177357267405515,0.0060898593539646766,0.1880354093193074
