gene,gene_effect,z_score,mean,stddev
ATP6V1A,-2.18202950715,-6.737725134625339,-0.4426688769950495,0.25815250628380976
SREBF1,-1.17463478817,-6.425362807892204,-0.042837749671217056,0.17614523449300154
SCD,-2.01054868278,-6.232033518592723,-0.19992753458346904,0.29053456512945613
SMARCA2,-1.39276425205,-4.844137280034111,-0.10763425265702992,0.2652959495367399
EIF2AK3,-1.03193703865,-4.588513881200335,-0.16607777526496542,0.188701458860691
HNRNPU,-2.73416315833,-4.571266596423862,-1.1241389367798837,0.35220527781286065
SCAP,-1.60417890567,-4.535431746831847,-0.2563847815549318,0.2971699717577159
TBCK,-0.758381688207,-4.490303816370339,-0.032677894675260735,0.16161574432581483
FNIP1,-0.667664172109,-4.41570782062846,0.022476476640485077,0.1562921906937361
TUBGCP3,-1.9178453415,-4.2723371823079415,-0.5147817543429618,0.3284065670114303
PIK3C3,-1.28374211255,-4.264026496180233,-0.24354171095977997,0.2439479216468388
ETS1,-0.815007429077,-4.150486278811847,-0.0012944564541725113,0.1960524425238596
VMP1,-0.9217135830200001,-4.137083687240251,-0.18607729008434987,0.1778151830006551
GPR155,-0.568740133801,-4.11814170916487,0.08342985301636281,0.15836511535432768
UBE2E4P,-0.643809082899,-3.9875424748180293,0.013442271558586821,0.16482617015573742
RABEP1,-0.684967148346,-3.9870957916042387,-0.11163566819872171,0.1437967658952568
AKT3,-0.583572702368,-3.94014003254022,0.037594480081805985,0.1576510421761172
VPS28,-1.8111892779299998,-3.9253591604442484,-0.5660375925417368,0.3172070718867275
RAB3GAP1,-0.56967964157,-3.924446265281302,-0.04245404790471421,0.13434394511387063
ZNF432,-1.10379694784,-3.9087987868408947,-0.16283707617716686,0.24072865424298812
DNAJC27,-0.468922052166,-3.8223826009604838,0.019579872357587128,0.12780037362058863
ACSL3,-0.763105436998,-3.7359460732654526,-0.1090914262970205,0.17505981025291675
ARPC4,-0.799534334688,-3.703827257201007,-0.1867163094735131,0.16545534730947337
UBQLNL,-0.7231742497210001,-3.7005931740988807,-0.16527719203856175,0.15075881931233634
PIP4K2C,-0.53728422865,-3.6922212068680675,-0.07709260122864389,0.12463815184348459
TRIP11,-0.540812787776,-3.5993931949632856,-0.003935840733259194,0.14915762684499298
BECN1,-0.6842805852889999,-3.5763066945432955,-0.017035505107043276,0.18657378607937475
AGPAT2,-0.600269783393,-3.5435465688301115,-0.0698077120937034,0.1496980668930299
PRPF3,-1.7557484268799999,-3.530553509609792,-0.8177045526970674,0.26569314744265354
RLN3,-0.866432213967,-3.5238262988368945,-0.15076349260790994,0.20309421085690574
HDAC8,-0.7604226082269999,-3.49258548141607,-0.14171377931984142,0.17714923004727798
PRPF31,-1.97677207585,-3.4876939681785704,-1.1476994823340283,0.23771368734767473
CNGA3,-0.6817237979880001,-3.460863942566729,-0.10322716823766509,0.1671538203611947
SLC6A15,-0.439956672845,-3.434483079981064,-0.0033572001199529116,0.1271223245413264
REXO5,-0.599518137859,-3.432114500777774,-0.04512710543714213,0.16153045951591175
CNR2,-0.6119263579800001,-3.429430286470247,-0.04971095962321237,0.16393842457589358
SUDS3,-1.0803822063600002,-3.4008173202584087,-0.291308365992337,0.232024765243111
ZBTB44,-0.595815858313,-3.3909560334213955,-0.12911425998262807,0.13763127381497806
