gene,gene_effect,z_score,mean,stddev
SAMD15,-0.5962385881153404,-4.170581812408576,-0.05812186607241351,0.12902677521920042
AIMP1,-0.5810013833538096,-3.9518259738025194,-0.030434584132055634,0.13931959627563975
EIF2AK4,-1.2746680079504715,-3.8468243142022773,-0.12803063085308464,0.29807375732342667
KRBOX5,-1.3537646025501642,-3.715399258659923,-0.4624810865776032,0.23988902777948842
CUL1,-1.775709385965282,-3.6187163969440026,-0.7612891818418794,0.2803259755254869
MED26,-2.145246450318111,-3.4927995646174432,-0.9388437742840078,0.34539705291283646
DCTN4,-1.4477431121874806,-3.4547732312249906,-0.762121374783189,0.19845636501044223
RHOG,-0.6554320338188826,-3.4289416104439363,-0.14009485677471495,0.15029044982117626
FGFR1,-1.3539490463944908,-3.4013408145633477,-0.18413626853026607,0.343926951646685
DOCK10,-0.4038515417130829,-3.3815929536119533,0.1019595973122674,0.1495777717673212
SPEF1,-0.6173128448840541,-3.36486579287481,-0.17736354075244923,0.13074794990730654
ASPM,-1.214206453617458,-3.3455867606229748,-0.3656566906923989,0.2536325684069399
DNAH1,-0.5498158317174731,-3.2905312337987875,-0.08573857660889138,0.14103414377040357
RTN3,-0.8223480788561721,-3.2579006613850585,-0.25194090531353663,0.17508427445425348
PSME2,-0.853349997923597,-3.257607108393983,-0.29915158279045834,0.17012438783827477
SMARCA2,-0.7161273073767226,-3.1870398266570534,0.027023271488997296,0.23317894324691407
WWP1,-0.4205050652287221,-3.1585910090652525,0.0117355178381379,0.13684601198012544
RBPMS,-0.44129336916962714,-3.1366435612653008,0.05448440899113042,0.15805996712000142
RAP1A,-0.7360776454918929,-3.0757848380535933,-0.2321225670245452,0.16384601166909277
CNDP2,-0.27543698180704596,-3.0424452005186216,0.053762914287746086,0.10820240773397527
PPL,-0.6379445235173942,-2.998977877857387,-0.19088789428349615,0.14906966554661505
LSMEM2,-0.4285331928707267,-2.9864949924573283,-0.01129619820758826,0.13970791704553645
TRIM61,-0.9018479707445592,-2.9542665750218084,-0.33756786483976947,0.1910051417416941
NISCH,-0.9696650504228714,-2.9012398362320244,-0.3680701060284108,0.20735788088990947
ACKR4,-0.5864052354649555,-2.90086720462218,-0.1645494309297029,0.14542403177335267
SS18L1,-0.33861373605440315,-2.8951379554522227,-0.01093290793150176,0.11318314814870968
OTOP1,-1.0760769251549087,-2.8908419019912124,-0.4802836169490818,0.20609681483980302
TREML2,-0.6289563639822237,-2.871546072901985,-0.17325396347152666,0.15869583455791955
TRIP12,-0.9080331310525935,-2.8672505423295322,-0.2019095592036721,0.2462720161438082
MOB4,-1.3434933390067973,-2.8431763591536354,-0.6642247575210608,0.23891187027453448
RELL2,-0.38612077627593866,-2.798558822475335,-0.06246546395715566,0.11565070911481101
NDC1,-1.4532944491437727,-2.796908368520858,-0.6081662945485128,0.3021651206407613
TBCA,-2.3746459912441162,-2.776762025319063,-1.1490892752478827,0.44136181092271
VBP1,-1.6371554045296102,-2.7706751232187643,-0.6515597272781757,0.35572401433569834
CFAP68,-0.23295223897233575,-2.7616946683113137,0.09271228822111792,0.11792198860006017
MARK4,-0.3420777675548951,-2.749098754132713,-0.03504240340150315,0.1116858256517073
GRXCR2,-0.4820881379925413,-2.7382870435701805,-0.055559968868942544,0.15576459382705585
CDCA5,-2.0149350690512877,-2.7283092084960647,-0.979900534762156,0.3793684861913717
ESS2,-1.6594715808492817,-2.725388297876074,-0.8729008788993988,0.28860867369353066
PFDN1,-1.8808924687702004,-2.688608810686315,-0.7581485079516973,0.4175929039419844
NOCT,-0.5631461561818696,-2.680317455569338,-0.17494972080196228,0.14483226028815638
SEPHS2,-2.5236178434824605,-2.675082992655311,-0.8699841741180389,0.61816163233239
ARHGEF28,-0.5073525920835308,-2.649099323172242,-0.1081992218912154,0.15067512444733006
NIPSNAP1,-0.4211146767964832,-2.647700966141111,-0.0714188761039705,0.1320752627144962
