gene,gene_effect,z_score,mean,stddev
LIAS,-0.70524740661,-3.5304242857208763,-0.23368330454958863,0.13357150979492619
LRRC18,-0.531892988232,-3.5072351414885268,-0.015382050545313499,0.1472701192961562
PCDHB12,-0.42358457180299997,-3.412526495375376,0.08179908147776432,0.1480966240015002
TRMT10A,-0.610311443636,-3.2914723340842094,0.05134472207629135,0.20102133591117813
SLC37A1,-0.313314001961,-3.2441934964325845,0.13237451714926457,0.13738037499932032
PCYT1A,-0.332250539045,-3.1599105662006397,0.034347021807067335,0.11601516978781168
MIR200B,-1.21030601266,-3.135267223818792,-0.24635345193259395,0.30745467352964595
NAA50,-1.41152355838,-3.1011559664011954,-0.5191213134086252,0.28776438677703225
OR10H2,-0.46128607792099996,-3.0734751071009137,0.004025146564057848,0.15139580060694466
GNAT1,-0.345232333257,-3.0626968352806676,0.05333944596727379,0.13013752279786073
DYNC1LI1,-0.5943456399329999,-3.0587713966290573,0.1169032761704004,0.23252764717469168
ZNF860,-0.549663945754,-3.0582766336726808,-0.09435434767214267,0.14887783304778304
ABRA,-0.409959938283,-3.0299081355455137,0.0281679719706361,0.1446010541091056
ARSF,-0.449567663124,-3.023728838691996,-0.003494427233186043,0.14752421916370523
DNAJC16,-0.6712247319619999,-3.022270878448505,-0.06662403605103157,0.20004848017506052
SLC6A2,-0.402679689862,-3.000245010012056,0.024558403004186505,0.1424010677262887
DPYSL5,-0.324748240548,-2.953621180776234,0.01291695593725391,0.11432244550620162
LAX1,-0.58325576819,-2.9195755174582487,-0.11886292959029138,0.15906176628169705
TFF1,-0.5800483999539999,-2.918806888204775,-0.07830109298360773,0.17190150845470767
PLEKHG2,-0.508855552702,-2.887511171619962,0.03471742568224897,0.18824965379416755
SPR,-0.574498210127,-2.8667907242640887,-0.01783242737924535,0.19417733496771095
CTRC,-0.5098060272899999,-2.8309540006895317,-0.09080678638234697,0.1480063755206188
ARSD,-0.44645360248300003,-2.8305343395996356,-0.031393479870069824,0.1466366674327782
ARSL,-0.305884799302,-2.8279816066112398,0.03992239039846899,0.122280565365787
PSME1,-0.33851550372199996,-2.827949247307039,0.13221878494838113,0.16645782774165607
OR4N5,-0.350483867302,-2.8246514520727124,0.017698624267666174,0.13034616759511905
DCUN1D2,-0.33758428796800005,-2.771686220534704,0.16239352968609216,0.1803875972503259
KIF1A,-0.715881307825,-2.766408900218001,-0.1272803225465526,0.21276716729477843
SLC17A1,-0.370848165331,-2.7633132396268896,0.035326706194863416,0.1469883564777138
PRAG1,-0.558981367529,-2.7571297294851553,-0.05244147775110886,0.18372000575848071
PROK2,-0.40736121025600003,-2.751391097371599,-0.00996037701202901,0.14443633027075198
RFPL2,-0.339006953253,-2.741970078725908,0.07973204169617583,0.15271464783589045
JAM2,-0.572646455957,-2.7393289114652446,-0.05450024385907431,0.18915078431409452
NPSR1,-0.523192358796,-2.7256371842797287,-0.1109355722341566,0.15125152714365597
PKD2L1,-0.39859495123099997,-2.7051343961487073,-0.006550181410284261,0.1449261709062843
BCAP29,-0.722682095707,-2.6974598145657804,-0.24777727685796233,0.17605630908184067
MCM7,-1.64682106104,-2.6915125606649415,-0.8850173329323414,0.2830392617300118
SLC25A17,-0.4880184631,-2.675162102340269,-0.052573315588096935,0.16277336881042448
NOX5,-0.351729635247,-2.670259533273292,0.03012837628856561,0.1430040813551451
SFRP1,-0.5947653028450001,-2.6456055605146536,-0.023248142391074658,0.21602508287091268
CYP4F8,-0.572000851027,-2.6263687018554585,-0.12565079959432326,0.16994950142276008
MGAT5B,-0.502165112015,-2.585987083815535,-0.08319368622445171,0.16201605507339595
POLRMT,-0.7424589702750001,-2.57754847838203,-0.24672195599706517,0.19232888088650704
CNTRL,-0.311568106779,-2.573225406757003,0.024655922906343483,0.13066248638866096
EFEMP1,-0.295549020861,-2.557849276957154,0.19852697068446054,0.1931607135715279
TRAPPC10,-0.48534047755599996,-2.5531776157965016,-0.00708678322933365,0.18731704812376243
HNRNPH3,-0.3586982517,-2.549595965829193,0.02840904597739622,0.15183084020589088
GABRA4,-0.51550140515,-2.545922758254689,-0.07320037187643232,0.17372916434306088
MYOCD,-0.41922199147399997,-2.5454578309819444,-0.007059607635824804,0.16192072750982403
MC5R,-0.5688682529429999,-2.5447304129491553,-0.10162800803343076,0.18361090138741734
FGG,-0.335696886057,-2.5388777509606495,0.07019505897547126,0.1598706140454741
FBH1,-0.444265126641,-2.5273703332567234,0.11050174537391114,0.2195035941962841
RDH12,-0.341805939007,-2.526196483789077,-0.015826906825316435,0.1290394608153136
ADAM20,-0.40405894693300004,-2.522261359979216,0.024987493949372698,0.17010387888030296
H2BC13,-0.365831245845,-2.519513055741303,-0.006278597217151973,0.14270719804706816
RAB4B,-0.502272062072,-2.509745836818279,-0.1172588902125081,0.15340723598832262
KCNE3,-0.37258289633,-2.494409429990478,-0.06725329191248408,0.12240556852716897
SGIP1,-0.471755551151,-2.4927687234641334,-0.05283448089085019,0.16805452760895784
PLEC,-0.268819443084,-2.4915497914651477,0.06069096057122995,0.13225118148711068
TMEM86B,-0.743607189197,-2.4849987422165847,-0.14193713514446743,0.24212086864714114
SIGLEC15,-0.460518314965,-2.4829522692814825,-0.10865989764753496,0.14170969843865985
ATP5PD,-1.07953431437,-2.479432305923757,-0.44434422248005995,0.2561836797771692
MTF1,-0.38841499585699996,-2.4644025884294978,0.010676313529302242,0.1619424160890178
TBC1D3L,-0.31810329137,-2.4625933992911104,0.00348926257353719,0.13059100785217398
CRACR2A,-0.349361006627,-2.4624796207733373,-0.03292526703551227,0.12850288665215903
CYP20A1,-0.539776114728,-2.4602322540463333,-0.04067828828824432,0.20286614225908617
NDFIP2,-0.452295617264,-2.4592128231928974,-0.06900830182673225,0.1558577248062777
CHRAC1,-0.30641586876800003,-2.4522035854999285,0.05056854473342581,0.1455769886367929
CDH7,-0.364408708837,-2.440781762219878,0.0946852843916024,0.18809301197459735
