gene,gene_effect,z_score,mean,stddev
TMEM245,-0.8289576762352631,-7.78304358465339,0.011073792810619707,0.1079309732637573
ENTPD5,-0.9230151227538678,-7.297250818618123,-0.009963676426192692,0.12512266181095572
NFE2L2,-1.8655483003909632,-5.810297754971822,-0.24058221802192925,0.2796700188004245
BAMBI,-1.0747774321279222,-5.316460434421274,-0.06567717001838126,0.1898067849007489
TAPT1,-1.269124384777586,-4.576675661023506,-0.18047960612711017,0.2378680202142654
SLC33A1,-1.4053477728169104,-4.197705576366231,-0.2135205831780422,0.28392348342605306
GOLGA8R,-1.6900821172838452,-4.1576931701691455,-0.5715881050041104,0.2690179304968364
ITPA,-0.6547660985343144,-3.7464602996502108,-0.09327565376990657,0.1498722527012582
MAFG,-0.7290953933689449,-3.423238756565468,-0.12909897714187923,0.17527156558283463
CELF1,-0.8335639026979702,-3.409487632529208,-0.19272324683274494,0.18795805262676382
HNF1A,-0.8429200272073794,-3.4040045207329475,-0.11989095531207544,0.21240543821005908
HNF4A,-0.4520389560672603,-3.3517415740025402,0.04476880867904287,0.14822376778679616
SPOP,-0.6658485573023905,-3.2022965734078426,-0.10242622658630092,0.17594320757009171
BMPR1A,-0.9940696245826848,-3.2017363103799474,-0.25454391508557644,0.23097645708660794
UBA5,-1.7941136083155693,-3.1902152488206723,-0.6040385327482948,0.37303911577979254
TM9SF3,-0.7816718988763056,-3.1376543567031745,-0.0689055468591378,0.22716535060480414
RIOK1,-1.8540650126746687,-3.0829165031553507,-1.026473056517975,0.2684444925153365
GJB1,-0.20278898712411692,-3.03674501406269,0.09526574581761775,0.09814941049099939
CEP120,-0.5863773303309351,-3.0170822443070553,-0.03710186645842236,0.18205518424595246
TRIB1,-0.6530984854796156,-3.00345191311069,-0.05246997227919721,0.19997940056191693
CHCHD4,-1.7962646977429517,-2.949406654889139,-1.0031279906254813,0.2689139884466974
ODR4,-0.8731996618166926,-2.911596990527221,-0.26461061117101936,0.20902242055672418
MARCHF6,-0.7482537398780028,-2.8905091493001986,-0.204615794129328,0.1880768811544123
RABGGTA,-2.29347952138935,-2.8831732493231175,-1.3599779848713227,0.3237757345096017
DNAJB11,-0.8042343111628553,-2.8550117210472163,-0.23040323109181174,0.20099079658438765
SQSTM1,-0.5340642954985917,-2.830993645323884,-0.10882108184795708,0.15020987926024965
CTBP1,-0.5417430310864217,-2.8240768894854806,0.025732288640642142,0.20094188010244027
ARID1B,-0.6774494478050351,-2.79987854653024,-0.09250435810157641,0.20891802268650336
FOXA2,-0.6738116531433653,-2.7666965190152366,-0.12721783066215714,0.19756190052812872
CDK5RAP3,-0.7879928752899206,-2.7509484378941025,-0.24588457819051202,0.19706232571716306
PIK3C3,-1.5918651121704128,-2.7501901018858086,-0.6718605810609717,0.3345239772620056
BMPR2,-0.4566061472637967,-2.704798298091745,-0.040530664000443986,0.15382865463827639
CEP55,-1.287750709275167,-2.6982745629986367,-0.4086722897201236,0.3257927979642328
KDELR2,-0.5035347272818611,-2.6826266717020397,-0.07184424349420365,0.160920820008758
FBXW10,-0.19989486235072937,-2.6483527003640472,0.06703258800988851,0.10078999308661779
CKAP5,-3.2117322444527883,-2.6349758826893663,-2.005741882984647,0.45768554064990413
TRNT1,-2.6096867310066916,-2.603667321980851,-1.561202016191603,0.40269534666103546
AIFM1,-1.5447597502973207,-2.5966503306977122,-0.5275335672693632,0.39174553885914704
MOG,-0.8114632933117425,-2.577457356138448,-0.2675741320542917,0.21101771478861892
NEMP1,-0.2664582856879767,-2.5570873095094635,-0.005229537542208574,0.10215871283483109
CARS1,-2.5783241108835413,-2.544348519394269,-1.7054511602187397,0.3430634380515629
MAD2L2,-2.2280463713224945,-2.5355189543382335,-1.040705251366625,0.46828327507642853
RTTN,-1.2991707053809676,-2.5203852656961754,-0.49648459859488364,0.31847754298165515
VSIG10,-0.372809019749261,-2.4695059701733912,-0.062047277747461466,0.12583963989363428
HSD17B12,-1.3525313581694185,-2.456773382586466,-0.5025677985594771,0.3459674244415284
MAGOH,-2.1094149265884483,-2.4547646485826378,-0.9186029147726911,0.48510231418858135
API5,-0.6880869570938482,-2.4519216405006774,-0.20972602558467268,0.19509633734114568
BLCAP,-0.281593370241101,-2.435968789893577,-0.011263784345091125,0.11097415821481853
OSBPL11,-0.2901965787030983,-2.4273818032254786,-0.020802354888745617,0.11098139709887607
AHCYL1,-1.280962509359925,-2.421219190976001,-0.43763162852827703,0.34830835802672566
COPB2,-3.103444452827369,-2.3579496655645054,-2.1965244781862703,0.3846222792139108
UFSP2,-0.6992595240641942,-2.3561179207397625,-0.16032900000539155,0.2287366516399111
PPA2,-1.360919790048712,-2.341093412580559,-0.458025679525751,0.3856719709136731
FRAT1,-0.4832807846268222,-2.3371213407989466,-0.10011108448872726,0.1639494250679805
DKC1,-2.332513412418302,-2.318127264107897,-1.3821386375051823,0.40997523717873174
MSI1,-0.39198705474613527,-2.3028910303798136,-0.0863225508406434,0.1327307718312138
ATF4,-1.5167912108494075,-2.3013873502892213,-0.7216137157719248,0.3455209289203535
KIF4A,-1.4444333760183636,-2.301238093379654,-0.6241957773766497,0.3564331743861815
UNC50,-1.2275055345001624,-2.291723998558161,-0.4897441588550634,0.32192418288993874
SLC25A33,-0.5355242126852805,-2.2765731505669184,-0.172806508320402,0.15932618034898352
UBAC1,-0.20408841044249348,-2.2653132949706833,0.07755032663977554,0.12432661641440368
TUBA1C,-1.7576876932558552,-2.2635165891322337,-0.9074717822551239,0.37561726522476213
KLB,-0.3368400696852146,-2.2454533054267243,-0.02776280333378029,0.13764582216181848
EIF2B1,-1.441561711631328,-2.2225661504931224,-0.904777819840413,0.2415153725219015
NARS1,-2.6684855349913468,-2.219674883730894,-1.91735745640048,0.33839553895764624
MCTS1,-0.5010878245667143,-2.18214255226846,-0.05822957204150375,0.2029465270565548
N6AMT1,-1.2006227662451774,-2.181211520426309,-0.4717973492166573,0.33413789089380663
PRKCSH,-0.5255134257129761,-2.1733488947277406,-0.19016309224259773,0.15430119585672336
DDX39B,-1.5170780128647783,-2.1195300574300293,-0.6771329983179326,0.3962883241982872
SNAPC3,-2.048974062512843,-2.112873711526773,-1.3063740679143512,0.3514644488912144
OSBPL9,-0.5002914542028755,-2.1121168385067706,-0.16503799107192815,0.15872865412500833
TUBGCP6,-1.399062108785453,-2.0967946832664293,-0.8358014268825628,0.2686293924712892
TRIM39,-0.28017973166637566,-2.0906347000166656,0.027223694358008088,0.14703832573999334
COG7,-0.8254427184988247,-2.074877029138647,-0.2950343104382457,0.25563365954307654
PPAN,-1.9865410089290032,-2.0710992291279973,-1.3695139929322917,0.2979224787102551
RHOT2,-0.36358639616759386,-2.0603562989521795,-0.05514042531696256,0.14970516070812384
COG1,-0.9539388594553149,-2.055469163685582,-0.4720601680927167,0.2344373245174645
NME6,-0.6422309497579236,-2.0304956484496004,-0.21499425999089714,0.2104100494346029
FZD10,-0.205497650578694,-2.0300613605623816,0.06438235728654389,0.13294179826686317
PDCD6IP,-1.1239002016071336,-2.0226211048038967,-0.4574122152456713,0.329516974176971
GANAB,-0.6405017227163254,-2.0213833471200684,-0.2080604048631607,0.2139333533489717
LRRC37A2,-0.9436410378607522,-2.0190415583978996,-0.39673595068763895,0.2708736157006495
SLC35B4,-0.12021406227696618,-2.016037355943251,0.11981286482331585,0.11905876961688526
WDR73,-1.5279210700447712,-2.012617235282766,-0.5788475637542099,0.47156184974100146
CFP,-0.15711330355975997,-2.00819688394513,0.059695477327347944,0.10796191480049713
GATA4,-0.2027694323650172,-2.0081122565211373,0.050497548068079975,0.1261219235182888
RPN1,-1.641984608177978,-2.000044941302237,-1.0301052111796298,0.30593282398942057
ELK1,-0.28220168713401,-1.9718708530569236,-0.07757701521486797,0.10377184266500995
LIN28B,-0.39636191368944784,-1.9473155398409545,-0.09437168411900622,0.15508027507196212
LEMD2,-0.8154470073278985,-1.9462018566973804,-0.2875645651331181,0.27123725135612287
TEDC1,-1.0301963229396438,-1.942758138809647,-0.4487985318142297,0.2992641129696381
YARS1,-3.0297102735063866,-1.927879445668525,-2.277493596158928,0.39017827542977634
PGS1,-1.6150612478840447,-1.9235028017637676,-0.9208295345704163,0.3609205625679611
CXorf38,-0.18676295054776226,-1.9121007563450176,0.041566369121881004,0.11941280756883071
NOC2L,-1.1048192928971208,-1.9104037803230487,-0.6700737669977739,0.22756735009487447
SNRPF,-4.2046520641301655,-1.904245031543178,-3.3301217656294346,0.45925302889829345
UFM1,-1.4150993621076724,-1.9039551284312761,-0.6317130719861096,0.4114520759567572
MIB1,-0.8769469405229746,-1.8933105036397964,-0.24541084189083404,0.3335618206406416
AJM1,-0.49601847382145275,-1.89048159675999,-0.20934544887024914,0.1516402092686432
XPO1,-2.866687984305476,-1.880783406495115,-2.1118830435052445,0.4013247555213328
GOLGA6B,-0.8008233636176207,-1.8729052663092767,-0.43511527597122684,0.19526245893208127
ARF4,-1.533249772348356,-1.8727586244263286,-0.7060110608287712,0.44172201410792494
TSR3,-0.41890726004489,-1.8687751757777906,-0.05971399945133288,0.19220785102951704
ALDH18A1,-0.559445123541299,-1.862291757498162,-0.13220486069952264,0.22941639575086725
CFAP52,-0.21143898932554955,-1.8540115343534895,-0.0005314669978072192,0.11375739493513329
ACIN1,-1.316535119695816,-1.8484781283709728,-0.7936035671962824,0.2828984257229934
STAP2,-0.14689057974469819,-1.8393392811387133,0.058960556737538854,0.11191580508996526
TMEM238,-0.2680429887016916,-1.837849928560262,-0.02834874180030342,0.1304210116269723
ATP5F1D,-1.3967107074989673,-1.8377514369877945,-0.7995644469338851,0.3249330940771008
CDC123,-3.0890664208064127,-1.8294544529651433,-2.3923119002485973,0.38085371266200674
ONECUT1,-0.10382781959994869,-1.8234597225357432,0.08622266953274779,0.10422521911721093
SNF8,-1.7794752958726456,-1.8208764993058502,-1.102298865289834,0.3718958594066995
GFER,-1.2083377512991662,-1.8157666095056877,-0.72348228876227,0.26702521127915774
SPA17,-0.1063553666963806,-1.8156045887635184,0.10777102048590934,0.11793668539255922
SASS6,-1.436461853748618,-1.8072451849492235,-0.8673454867156265,0.3149082215144933
WIZ,-0.3329219683618059,-1.8048763645706654,-0.08072793001841133,0.13972925973984104
MGA,-0.5182609643721063,-1.8023320270378218,-0.1895230534822893,0.18239586599928878
SRM,-0.5550176101203529,-1.7985260672598589,-0.13787964497708538,0.23193323284927267
TRIP6,-0.49118300118997316,-1.7961613921812505,-0.21156067711877036,0.155677727674366
