gene,gene_effect,z_score,mean,stddev
SLC33A1,-1.23711479654,-6.282925916025417,0.008804937943709389,0.19830247103595947
WDR7,-1.46852720665,-5.183123381841018,-0.2647865990598326,0.23224232164865138
CTBP1,-0.9997591569679999,-4.9650257909785385,-0.011082514783322497,0.19912819868551435
ATP6V1B2,-2.27565020864,-4.636306424113386,-0.5326543196115323,0.3759449289121967
SOD1,-1.5241525790000001,-4.568823407434076,-0.39810739435480086,0.24646283829070215
ARID1B,-1.0046298493,-4.131728602088479,-0.08964278720721987,0.22145381514901014
PKD1P1,-0.341755682786,-3.8520275400116017,0.2539461167501964,0.15464629817636305
COG1,-1.19087158264,-3.620848996034372,-0.34934998339314555,0.23241002322066076
BDH2,-0.451833403922,-3.6015890533481336,0.08467123980952454,0.14896331474374497
PTPRVP,-0.42482371612,-3.5471770645389182,0.12437256174176466,0.15482629366097128
CUEDC2,-0.516995371114,-3.5158038055191825,0.06412869093519251,0.16528910433993266
TWNK,-0.728479893088,-3.4948362099367025,-0.007746066694406964,0.20622821302593944
TIMM10,-1.4020185457299998,-3.489454972028622,-0.6768724635767313,0.20781070051512923
TMED2,-1.21630441901,-3.4786834173920855,-0.22654103060468472,0.2845224096728312
MTO1,-0.432077871068,-3.4702323100755814,0.10632131197558527,0.15514787914353173
TMED10,-0.9120018991240001,-3.4375034538430462,-0.1308188495875522,0.22725302244077866
GRIP2,-0.7257905092649999,-3.412710749611396,-0.20756314598046924,0.15185212029573295
FRG1CP,-0.685863347531,-3.383210640424778,-0.04640985838362088,0.18900788544076366
SMDT1,-1.0829152148799999,-3.330936765290879,-0.34054478464141197,0.22287136699028845
ANGPTL7,-0.634201777017,-3.2863987096283074,-0.19162458404645472,0.1346693545350743
KAT8,-1.31447137582,-3.2110723240511554,-0.5409510957167236,0.24089157827731114
EMP3,-0.683236974535,-3.0690137205904504,-0.04638589952302603,0.20751001233368535
CAND1,-1.03202873063,-3.0412939258807175,-0.2817177114661567,0.24670782813159484
AP4S1,-0.43838752425099997,-2.952761078583659,0.08396587201918407,0.17690337361150113
EDEM2,-0.583704766034,-2.918716214951174,-0.05594309652961539,0.18081979563512082
RNPEPL1,-0.597964254405,-2.9165231644219354,-0.029828341041394698,0.19479904027308206
PLK4,-0.7341120555959999,-2.9035546038303814,-0.11860196222998043,0.21198502434017805
UNK,-0.41278975689900005,-2.8911645756088533,-0.024126042694079124,0.13443154273674365
XRRA1,-1.4071232014300001,-2.8271802665676056,-0.5675215437102751,0.2969749285704587
SLC16A10,-0.398151088659,-2.7972440108575016,0.010887626782332693,0.14622918624676612
RIMKLA,-0.386482427925,-2.7958009073437,0.036399782984524606,0.15125619631882387
MINPP1,-0.388763529941,-2.758776030251817,0.048390025204232225,0.15845924074718362
TMEM219,-0.5681822935999999,-2.7576395208211077,-0.016138557669505112,0.20018705554601265
ZXDB,-0.690661857809,-2.751450122885529,-0.17384483211069263,0.18783441553223784
DNAJC8,-0.783292104974,-2.734304070897393,-0.3102293725962303,0.17301028711942468
MAD2L1,-2.40476532953,-2.720108587768039,-1.2890204873655562,0.4101839342671089
RAB6D,-0.425210180969,-2.697813659770437,-0.04245000116010521,0.1418779160016058
N4BP2,-0.751146422467,-2.688287081536598,-0.07516192538535386,0.25145547204551544
PARP14,-0.45793832473499996,-2.6874654493699293,-0.0004647050079367071,0.1702249306439705
MIA3,-0.28353243588599997,-2.682125582092673,0.06189352295956714,0.12878813771876246
ZNF407,-0.432729699714,-2.668901920905984,-0.028437163385236205,0.15148272522188558
GOLGA2P7,-0.5792013654339999,-2.668211131104319,-0.0950274078584836,0.18146013706761144
CRTAP,-0.27771959118,-2.653515013401531,0.06832398747488201,0.13040950471627066
MPZL3,-0.565594431388,-2.6162011361599538,-0.06597536737118459,0.19097119755484615
TRIM61,-0.396630023389,-2.6131961520105276,0.038431406207887125,0.1664863271982709
MFGE8,-0.38513568054799996,-2.5896951938805226,-0.011182662595255907,0.14440039848565925
CLEC10A,-0.755342498425,-2.5894839103116336,-0.16419992764613592,0.22828586361354244
IFNA7,-0.391277697386,-2.583555541082733,-0.012438097329806188,0.14663497417881224
MCM10,-0.481827417131,-2.578733315931112,-0.13387720728871577,0.1349306683605818
NFAM1,-0.32242579583500003,-2.5782684582349273,0.11913229037778457,0.17126148551461298
DDI2,-0.668703081383,-2.5745051273872743,-0.14012731719105698,0.2053115989434311
UGP2,-0.538612147749,-2.573951530665662,-0.06974550089179886,0.18215830456447843
HTT,-0.653822111701,-2.5612616807943267,-0.2503281760954425,0.15753717733379805
SLC7A2,-0.65467339999,-2.5547922814713817,-0.1345667887971077,0.20358078226749113
SIGMAR1,-0.5104492318580001,-2.5545287343684246,-0.10330847749771005,0.1593799861722638
MLLT11,-0.48531872479500004,-2.5416355104961372,-0.07062819625572121,0.16315892929050618
ZNF880,-0.7382940833149999,-2.539980868021749,-0.310738377481042,0.16833028595485344
MIS12,-0.530204294095,-2.539444214092817,-0.15645796572325663,0.14717642793553523
MLF2,-0.604838433097,-2.525888287749269,-0.17863910888578288,0.16873245197672163
OTOP1,-0.258107628672,-2.52155560297899,0.09018343153069325,0.1381254729386966
GARIN4,-0.456474472428,-2.5169374695170013,-0.05911632849950986,0.15787366541320666
